path	subsystem	hardening_change	lines_added	lines_removed	current_path	post_hardening_HEAD	heuristic_added_risk_lines
.env.example	root-config	M	39	7	present	changed_after_hardening	0
.github/workflows/build-tunnel.yml	.github	M	34	10	present	unchanged_at_HEAD	0
.github/workflows/deploy-pages.yml	.github	M	8	7	present	unchanged_at_HEAD	0
.github/workflows/nightly.yml	.github	M	24	24	present	changed_after_hardening	0
.github/workflows/release.yml	.github	M	75	27	present	unchanged_at_HEAD	0
.github/workflows/rust-ci.yml	.github	M	112	56	present	changed_after_hardening	0
Cargo.lock	root-config	M	591	342	present	changed_after_hardening	0
Cargo.toml	root-config	M	3	1	present	changed_after_hardening	0
Dockerfile.app	root-config	M	9	4	present	unchanged_at_HEAD	0
README.md	root-config	M	54	9	present	changed_after_hardening	0
apps/aether-gateway/Cargo.toml	apps	M	3	2	present	changed_after_hardening	0
apps/aether-gateway/examples/execution_runtime_harness.rs	apps	M	1	1	present	unchanged_at_HEAD	0
apps/aether-gateway/src/admin_api.rs	apps/aether-gateway/src/admin_api.rs	M	9	8	present	unchanged_at_HEAD	0
apps/aether-gateway/src/ai_serving/adaptation/private_envelope/sync.rs	apps/aether-gateway/src/ai_serving	M	3	3	present	unchanged_at_HEAD	0
apps/aether-gateway/src/ai_serving/planner/candidate_materialization.rs	apps/aether-gateway/src/ai_serving	M	13	30	present	unchanged_at_HEAD	0
apps/aether-gateway/src/ai_serving/planner/candidate_metadata.rs	apps/aether-gateway/src/ai_serving	M	10	2	present	unchanged_at_HEAD	0
apps/aether-gateway/src/ai_serving/planner/candidate_ranking.rs	apps/aether-gateway/src/ai_serving	M	32	20	present	unchanged_at_HEAD	1
apps/aether-gateway/src/ai_serving/planner/candidate_source.rs	apps/aether-gateway/src/ai_serving	M	17	3	present	unchanged_at_HEAD	1
apps/aether-gateway/src/ai_serving/planner/decision/stream.rs	apps/aether-gateway/src/ai_serving	M	31	9	present	unchanged_at_HEAD	0
apps/aether-gateway/src/ai_serving/planner/decision/sync.rs	apps/aether-gateway/src/ai_serving	M	19	9	present	unchanged_at_HEAD	0
apps/aether-gateway/src/ai_serving/planner/decision_input.rs	apps/aether-gateway/src/ai_serving	M	76	14	present	changed_after_hardening	8
apps/aether-gateway/src/ai_serving/planner/report_context.rs	apps/aether-gateway/src/ai_serving	M	48	8	present	unchanged_at_HEAD	3
apps/aether-gateway/src/ai_serving/planner/specialized/files/request.rs	apps/aether-gateway/src/ai_serving	M	85	1	present	unchanged_at_HEAD	3
apps/aether-gateway/src/ai_serving/planner/standard/family/request.rs	apps/aether-gateway/src/ai_serving	M	1	1	present	changed_after_hardening	0
apps/aether-gateway/src/ai_serving/planner/standard/openai/plan_builders/stream.rs	apps/aether-gateway/src/ai_serving	M	12	27	present	unchanged_at_HEAD	1
apps/aether-gateway/src/ai_serving/planner/standard/openai/plan_builders/sync.rs	apps/aether-gateway/src/ai_serving	M	12	27	present	unchanged_at_HEAD	1
apps/aether-gateway/src/ai_serving/planner/standard/openai/responses/decision/payload.rs	apps/aether-gateway/src/ai_serving	M	5	5	present	unchanged_at_HEAD	1
apps/aether-gateway/src/ai_serving/planner/standard/openai/responses/decision/request.rs	apps/aether-gateway/src/ai_serving	M	7	15	present	unchanged_at_HEAD	1
